Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00002181:22G:K03D10.1, kal-1:WAGO	K03D10.1, kal-1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00002181:22G:K03D10.1, kal-1:WAGO	K03D10.1, kal-1	2	8	5	1	C1	1	0	Control
22G	Gene:WBGene00002181:22G:K03D10.1, kal-1:WAGO	K03D10.1, kal-1	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00002196:22G:kin-10, T01G9.6:CSR	kin-10, T01G9.6	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00002220:22G:C15C7.2, gcc-1:WAGO	C15C7.2, gcc-1	1	4	17	0	C1	1	0	Control
22G	Gene:WBGene00002259:NA:lbp-7, T22G5.2:unk	lbp-7, T22G5.2	2	10	1	1	C1	0	1	Control
22G	Gene:WBGene00002260:NA:lbp-8, T22G5.6:unk	lbp-8, T22G5.6	2	2	9	1	C1	1	0	Control
22G	Gene:WBGene00002260:NA:lbp-8, T22G5.6:unk	lbp-8, T22G5.6	2	14	1	1	C1	1	0	Control
22G	Gene:WBGene00002260:NA:lbp-8, T22G5.6:unk	lbp-8, T22G5.6	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00002261:22G:F58A3.1, ldb-1:CSR	F58A3.1, ldb-1	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00002915:22G:H19M22.2, let-805:WAGO	H19M22.2, let-805	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00003066:22G:lpl-1, ZC410.7:WAGO	lpl-1, ZC410.7	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00003066:22G:lpl-1, ZC410.7:WAGO	lpl-1, ZC410.7	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00003066:22G:lpl-1, ZC410.7:WAGO	lpl-1, ZC410.7	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00003081:22G:lsm-7, ZK593.7:CSR	lsm-7, ZK593.7	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00003084:22G:lst-2, R160.7:CSR	lst-2, R160.7	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00003084:22G:lst-2, R160.7:CSR	lst-2, R160.7	2	12	3	1	C1	1	0	Control
