V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
30,79336768	82,06529768	48,16186384	101,2140999	761,3903941	87,5114605	238,6755964	20,06210863	69,61646442	486,3166422	17,25633106	50,51016489	74,22933651	58,68276625	73,11619595	83,3716056	125,9396852	360,8710806	125,3716261	66,45120787
22,45349727	63,96265849	39,28994156	58,12294843	190,1453163	55,77653527	130,1866889	48,4834292	56,62139106	175,1785754	18,16455901	29,09824717	42,53591193	46,6246636	39,55466338	64,13200431	103,0415606	64,25265582	33,20653881	27,68800328
28,22725371	102,5816221	46,89444637	74,15686524	290,477313	86,5497961	173,5822519	29,25724176	106,7452454	444,4829525	16,34810311	40,0787178	100,0844987	84,40671858	57,53405583	71,46137623	188,9095278	345,02796	159,9335339	49,8384059
66,07743481	111,0295204	54,49895119	108,2289385	278,3403779	152,9046398	229,9964838	27,58539937	87,2526354	266,6897715	38,14557392	52,15723549	54,21243677	75,56410997	55,1368035	62,29966133	137,3887475	280,7753042	99,61961642	53,53013967
51,32227947	101,3747795	82,38213552	95,20138105	118,9419638	97,12810452	182,2613645	59,35040471	85,39619635	196,0954202	53,58544908	54,35332962	85,07182386	84,40671858	31,16428024	94,36566349	300,5378851	54,57074878	61,66928636	45,22373869
160,3821233	314,985922	158,4271837	212,4493977	296,141216	206,7578462	355,8436164	238,23754	199,567198	677,1828512	126,2436851	126,2754122	249,3772092	268,4937524	153,4241489	279,4323045	558,1417867	87,13716338	223,6358736	265,8048315
50,68075097	139,9937431	60,83603854	95,20138105	103,5685127	99,05143332	312,4480535	51,82711397	50,12385438	287,6066163	113,5284938	60,94161199	105,0887236	169,6173107	82,70520526	134,6772091	357,7831966	99,45959052	77,93371353	68,29707475
14,11362685	31,37790794	22,81351445	21,04451581	53,40251436	28,84993203	112,8284637	23,40579341	8,35397573	88,8965905	13,62341926	16,47070594	25,02112467	32,15494041	9,589009305	10,99405788	45,79624916	17,60346735	48,11559705	24,91920295
7,056813427	20,51632442	7,604504817	25,05299501	50,97512734	14,42496602	39,05600668	20,89802983	3,712878102	57,52132327	4,541139752	15,37265888	14,17863731	35,37043445	14,38351396	24,73663023	45,79624916	18,48364072	44,04949026	11,07520131
7,056813427	38,61896361	26,61576686	26,05511481	29,1286442	39,42824045	177,9218082	45,97566562	27,84658577	81,05277369	9,082279504	12,62754122	27,52323713	36,97818147	19,17801861	16,49108682	74,41890489	15,84312061	84,71055818	26,76506984
394,5400234	1006,506739	888,4596461	807,7085592	865,7680358	909,7345235	3671,264628	341,891768	697,0928637	2350,530437	450,4810634	466,1209782	951,6367748	898,7305845	533,3886426	403,1154557	2922,37315	378,474548	973,8325769	595,2920705
19,2458548	60,34213065	58,3012036	82,17382365	111,6598028	63,46985048	243,0151527	22,56987221	104,8888064	232,6998987	47,22785342	54,90235315	66,72299911	73,15248944	79,10932677	43,06006004	166,0114032	77,45525633	68,44613101	30,45680361
30,79336768	90,51319597	54,49895119	79,16746424	135,9336729	75,00982329	338,4853912	28,42132056	121,5967578	180,4077866	24,52215466	37,88262367	69,22511157	71,54474242	43,15054187	30,23365917	177,4604655	92,41820358	87,42129605	23,07333606
25,66113973	84,47898291	35,48768915	93,19714145	64,73032044	53,85320646	164,9031393	29,25724176	53,83673248	159,4909418	37,23734597	29,6472707	41,70187444	73,95636295	45,5477942	72,37754772	28,62265573	88,89751011	98,94193196	20,30453574
24,37808275	25,34369487	22,81351445	43,09115142	176,3901232	32,69658964	104,1493512	15,04658148	37,12878102	101,9696185	23,61392671	24,15703538	33,36149955	30,54719339	46,74642036	35,73068812	42,93398359	55,45092215	222,2805047	23,99626951
27,58572521	54,30791758	40,55735902	33,06995342	101,1411257	74,04815889	91,13068226	30,09316295	62,19070821	251,0021379	29,97152236	38,4316472	65,88896162	43,40916956	31,16428024	38,47920259	45,79624916	117,0630579	372,0487715	24,91920295
155,8914239	234,1274669	191,3800379	202,4281997	313,1329251	326,9658964	559,8027624	80,24843454	116,9556602	567,3694158	75,38291989	125,1773652	137,6161857	178,4599193	297,2592885	82,45543411	157,4246065	238,5269826	447,2717472	41,53200492
43,62393755	74,824242	74,7776307	65,13778704	259,7304107	116,3613925	160,563583	42,63198085	132,7353922	397,4200517	61,75950063	53,80430608	76,73144897	68,32924838	20,37664477	107,1920643	111,6283573	176,9148469	894,5434944	45,22373869
34,64253864	59,13528803	57,03378613	69,14626624	232,2200246	77,89481649	125,8471326	34,27276892	69,61646442	334,6695172	36,32911802	35,68652955	70,05914906	60,29051327	34,76015873	90,70097752	94,4547639	239,4071559	54,8924417	28,61093672
18,60432631	44,65317668	41,82477649	35,07419302	109,2324157	74,04815889	86,79112596	15,88250267	71,47290347	282,3774051	39,96202982	30,74531776	52,5443618	49,03628413	9,589009305	74,2098907	17,17359344	146,108779	70,47918441	28,61093672
37,85018111	231,7137817	83,64955299	124,2628553	585,8093999	126,939701	151,8844704	61,0222471	45,48275675	569,9840214	75,38291989	120,7851769	110,926986	130,2275087	62,32856048	234,5399015	151,7000754	741,9861487	126,0493106	31,37973705
19,2458548	103,7884647	39,28994156	49,10387023	186,9088003	91,35811811	69,43290077	34,27276892	65,90358631	269,3043771	34,51266212	35,68652955	50,04224933	89,22995965	23,97252326	110,8567503	31,4849213	215,642475	102,3303543	48,91547246
16,03821233	68,79002894	36,75510662	34,07207322	554,2533687	54,81487087	104,1493512	18,39026625	87,2526354	193,4808146	20,88924286	26,90215304	48,37417435	80,38735103	13,18488779	70,54520474	31,4849213	167,2329398	25,75200969	22,15040262
27,58572521	57,92844542	48,16186384	50,10599003	419,9379538	83,6648029	112,8284637	38,45237488	68,68824489	211,7830538	26,33861056	51,60821196	45,0380244	81,19122454	26,36977559	45,80857451	88,73023275	184,8364072	48,79328151	35,99440426
21,81196877	42,23949145	21,54609698	41,08691182	51,78425635	80,7798097	121,5075763	27,58539937	82,61153777	162,1055474	31,78797827	40,62774133	29,19131211	39,38980201	14,38351396	18,3234298	105,9038262	73,0543895	19,6528495	17,53573541
19,88738329	27,7573801	40,55735902	24,05087521	89,8133196	47,12155566	104,1493512	20,06210863	317,4510777	112,4280409	16,34810311	26,35312951	43,36994942	37,78205499	29,96565408	52,22177494	117,3528885	63,37248246	31,85116988	23,07333606
14,11362685	53,10107497	54,49895119	60,12718803	104,3776417	56,73819967	86,79112596	25,07763579	217,203369	345,1279396	14,53164721	77,41231794	64,22088664	90,03383316	26,36977559	104,4435499	80,14343604	304,5399851	43,37180579	28,61093672
40,41629508	67,58318632	24,08093192	45,09539102	46,92948232	74,04815889	86,79112596	50,15527159	45,48275675	151,647125	21,79747081	40,62774133	64,22088664	35,37043445	29,96565408	45,80857451	91,59249833	107,3811508	42,01643686	35,07147082
13,47209836	38,61896361	21,54609698	34,07207322	57,44815939	28,84993203	99,80979485	32,60092653	11,13863431	180,4077866	14,53164721	25,80410598	27,52323713	10,45035563	25,17114943	22,90428725	48,65851474	87,13716338	25,75200969	28,61093672
10,90598439	48,27370452	40,55735902	55,11658903	54,21164337	29,81159644	69,43290077	24,2417146	25,99014672	214,3976594	11,80696336	24,70605892	35,86361202	65,91762785	37,15741106	56,80263239	31,4849213	164,5924197	38,62801453	4,614667213
10,26445589	13,27526874	16,4764271	25,05299501	39,64732127	35,58158284	73,77245707	11,7028967	28,77480529	112,4280409	7,265823604	16,47070594	19,18286224	24,92007882	22,7738971	33,89834514	28,62265573	96,81907042	20,33053396	16,61280197
32,71795316	90,51319597	43,09219396	51,10810983	57,44815939	66,35484368	95,47023856	41,79605965	33,41590292	128,1156745	36,32911802	29,6472707	70,89318655	74,76023646	67,12306514	46,724746	85,86796718	91,53803021	52,18170384	19,38160229
4,490699453	21,72316703	17,74384457	32,06783362	41,26557928	28,84993203	56,41423187	15,88250267	25,99014672	164,720153	12,71519131	9,882423566	13,34459982	20,09683776	19,17801861	24,73663023	40,07171802	99,45959052	30,49580095	27,68800328
34,64253864	86,89266813	35,48768915	101,2140999	73,6307395	43,27489805	125,8471326	78,57659215	25,99014672	196,0954202	16,34810311	31,84336483	68,39107409	76,36798348	44,34916804	32,98217365	120,2151541	74,81473623	32,52885434	47,06960557
50,68075097	89,30635336	41,82477649	65,13778704	84,95854557	126,939701	108,4889074	29,25724176	29,70302482	151,647125	26,33861056	44,47090605	76,73144897	75,56410997	58,73268199	42,14388855	100,179295	66,01300256	30,49580095	29,53387016
256,6113973	387,3964788	221,7980572	287,6083828	243,5478306	583,7302915	785,4596899	160,4968691	274,7529796	949,1018339	118,9778615	174,589483	202,6711098	295,8254518	443,4916804	84,28777709	291,9510884	162,832073	126,0493106	86,7557436
162,3067088	185,8537624	233,2048144	185,3921631	153,734511	345,23752	659,6125573	58,51448352	214,4187104	685,026668	39,96202982	81,25548266	95,08027373	149,5204729	391,9507553	32,98217365	151,7000754	244,6881961	52,18170384	31,37973705
28,8687822	49,48054713	27,88318433	31,06571382	33,17428922	72,12483009	99,80979485	35,10869011	24,13370766	138,574097	14,53164721	21,96094126	28,35727462	31,3510669	43,15054187	17,40725831	37,20945245	37,8474548	14,23137377	22,15040262
35,28406713	34,99843578	16,4764271	55,11658903	8,091290054	68,27817248	56,41423187	35,9446113	41,76987865	86,2819849	10,89873541	32,39238836	41,70187444	37,78205499	51,54092501	21,98811576	100,179295	21,12416082	25,07432522	30,45680361
42,34088056	51,89423236	26,61576686	37,07843262	59,8755464	75,97148769	73,77245707	25,07763579	32,48768339	120,2718577	29,97152236	24,15703538	50,87628682	38,5859285	46,74642036	53,13794643	71,55663932	29,04572113	26,42969415	44,30080524
61,58673536	65,1695011	40,55735902	67,14202664	38,02906326	97,12810452	104,1493512	13,37473909	47,3391958	78,43816809	22,70569876	37,88262367	60,88473669	55,46727221	59,93130816	35,73068812	134,5264819	86,25699001	34,56190774	35,99440426
26,94419672	54,30791758	22,81351445	40,08479202	57,44815939	129,8246942	104,1493512	23,40579341	10,21041478	253,6167435	10,89873541	65,88282378	28,35727462	42,60529605	27,56840175	23,82045874	71,55663932	192,7579675	43,37180579	14,76693508
12,83056987	26,55053748	7,604504817	20,04239601	16,18258011	18,27162362	26,03733779	7,523290738	1,856439051	26,14605603	10,89873541	7,137305909	9,174412377	11,25422914	33,56153257	0,91617149	45,79624916	18,48364072	39,305699	7,383467541
12,18904137	25,34369487	6,337087348	12,02543761	24,27387016	38,46657605	17,35822519	4,179605965	8,35397573	60,13592887	8,174051554	12,62754122	20,01689973	13,66584968	20,37664477	7,329371921	11,44906229	19,36381408	15,58674271	12,9210682
1,92458548	15,68895397	6,337087348	7,014838604	16,18258011	13,46330162	39,05600668	4,179605965	0	47,06290085	3,632911802	12,07851769	8,340374888	8,038735103	13,18488779	5,497028941	11,44906229	50,16988194	2,710737862	7,383467541
4,490699453	8,447898291	5,069669878	4,008479202	23,46474116	8,65497961	0	4,179605965	0	10,45842241	0,90822795	3,84316472	3,336149955	3,215494041	2,397252326	0	11,44906229	22,88450755	5,421475724	3,69173377
1,92458548	1,206842613	2,534834939	3,006359402	8,091290054	2,884993203	4,339556298	3,343684772	0	5,229211206	0,90822795	2,745117657	4,170187444	3,215494041	3,595878489	2,74851447	0	0	0	0,922933443
1,283056987	3,620527839	0	5,010599003	4,854774033	3,846657605	13,01866889	0	8,35397573	5,229211206	0,90822795	0,549023531	2,502112467	2,411620531	0	0	0	4,400866837	0	1,845866885
0	1,206842613	3,802252409	0	8,091290054	6,731650808	13,01866889	0,835921193	0,928219526	2,614605603	0	1,647070594	0	2,411620531	2,397252326	0,91617149	2,862265573	0	0	0,922933443
0,641528493	0	0	0	7,282161049	0,961664401	8,679112596	0	0	10,45842241	0	0,549023531	1,668074978	0,80387351	2,397252326	0	5,724531145	0	0	0
1,92458548	2,413685226	3,802252409	0	1,618258011	1,923328802	8,679112596	0	0	5,229211206	0,90822795	0,549023531	1,668074978	0,80387351	3,595878489	0	0	0	0	0
