C1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
28,85880793	50,33148184	127,4423158	61,52239466	113,9051373	11,20347513	37,34014985	46,01781365	22,54903854	28,4658071	
29,63877571	58,19577588	87,12893021	54,49126385	83,93010117	18,09792137	46,07933386	133,1229609	33,40598302	23,12846827	
23,39903346	72,35150514	57,21899895	124,802572	45,96172207	14,65069825	30,98437966	57,52226706	12,52724363	33,80314594	
17,1592912	34,60289376	114,4379979	40,42900221	83,93010117	37,05764851	23,8341382	47,66130699	16,70299151	51,59427538	
30,41874349	51,90434065	87,12893021	144,1381818	63,94674375	26,71597916	38,13462113	24,65240017	26,72478642	48,03604949	
21,83909789	36,17575257	57,21899895	175,7782705	15,98668594	13,78889247	23,8341382	44,3743203	12,52724363	8,89556472	
15,59935564	185,5973393	80,62677124	581,8260753	115,903473	10,34166935	24,62860948	70,67021382	18,37329066	188,5859721	
10,91954895	91,22581083	50,71683998	344,5254101	53,95506504	21,54514448	12,71154038	37,80034693	12,52724363	122,7587931	
22,61906567	56,62291707	66,32202151	156,4426607	81,93176543	36,19584273	49,25721895	47,66130699	33,40598302	48,03604949	
7,019710037	12,58287046	62,42072612	63,28017737	21,98169316	18,95972715	18,27283929	31,22637355	16,70299151	32,02403299	
46,79806691	81,78865799	79,32633945	123,0447893	59,95007226	42,22848319	61,96875933	42,73082696	25,88963684	48,03604949	
60,0575192	97,51724606	59,81986253	114,2558758	97,91845136	31,02500806	74,6802997	34,51336024	49,27382496	76,50185659	
376,7244386	309,8531851	435,6446511	362,1032372	589,5090439	117,205586	255,8197501	294,1853087	282,2805566	343,3687982	
287,0281437	220,200233	399,2325608	402,5322394	555,5373363	31,88681383	109,6370357	198,8626947	172,0408126	284,658071	
28,85880793	58,19577588	63,72115792	147,6537472	73,93842246	27,57778494	19,86178184	19,72192013	47,60352581	120,9796802	
28,85880793	17,30144688	49,41640818	77,34243901	57,95173652	56,87918144	30,18990839	19,72192013	33,40598302	46,25693654	
38,21842131	58,19577588	59,81986253	45,70235032	53,95506504	25,85417338	27,0120233	21,36541348	33,40598302	49,81516243	
47,57803469	34,60289376	52,01727177	66,79574278	103,9134586	28,43959072	38,9290924	39,44384027	68,4822652	49,81516243	
22,61906567	22,0200233	62,42072612	52,73348114	65,94507949	9,479863573	7,150241461	59,1657604	52,61442326	8,89556472	
17,1592912	9,437152845	7,802590765	22,85117516	13,98835019	13,78889247	3,177885094	13,14794676	12,52724363	12,45379061	
24,17900124	25,16574092	20,80690871	35,15565409	9,991678711	18,95972715	10,32812655	11,50445341	21,71388897	14,23290355	
10,13958116	26,73859973	23,4077723	17,57782705	3,996671484	8,618057793	3,177885094	6,573973378	7,516346181	14,23290355	
3,899838909	3,145717615	11,70388615	0	7,993342968	1,723611559	0	6,573973378	2,505448727	1,779112944	
0,779967782	9,437152845	9,10302256	0	0	2,585417338	2,38341382	1,643493345	0,835149576	5,337338832	
0	4,718576422	3,901295383	0	5,995007226	6,894446235	0	4,930480034	0,835149576	0	
1,559935564	1,572858807	1,300431794	0	1,998335742	4,309028897	1,588942547	1,643493345	0,835149576	3,558225888	
0	6,29143523	0	0	0	0	0	3,286986689	2,505448727	0	
0	0	2,600863588	0	1,998335742	0	2,38341382	0	0,835149576	1,779112944	
										
